Période;Capteurs;Vitesse;Production;Accumulation
37;sensor_network;5.064;27575.43857222222;5445.814316666667
37;sensor_zone_1_1;8.718;1403.9758666666667;161.03853333333333
37;sensor_zone_1_2;6.32;2008.2589;317.76956666666666
37;sensor_zone_1_3;8.47;1503.7271166666667;177.5305222222222
37;sensor_zone_2_1;4.848;2265.9398555555554;467.3999888888889
37;sensor_zone_2_2;2.234;3823.344088888889;1711.4830833333335
37;sensor_zone_2_3;5.113;1971.429111111111;385.5722
37;sensor_zone_3_1;8.776;1521.8175222222221;173.3981
37;sensor_zone_3_2;4.687;2115.32935;451.27167777777777
37;sensor_zone_3_3;8.749;1671.0053777777778;191.00077222222222
38;sensor_network;4.761;24825.28258888889;5213.913961111111
38;sensor_zone_1_1;8.469;1443.3099333333334;170.41742777777776
38;sensor_zone_1_2;6.391;1970.3404555555555;308.29962777777774
38;sensor_zone_1_3;8.455;1381.7591111111112;163.43397222222222
38;sensor_zone_2_1;4.657;2075.343494444445;445.65257222222226
38;sensor_zone_2_2;2.189;3757.6002444444443;1716.858538888889
38;sensor_zone_2_3;5.02;1934.0066166666666;385.2605666666667
38;sensor_zone_3_1;8.699;1521.0825444444445;174.84779444444445
38;sensor_zone_3_2;4.235;1937.709988888889;457.5118555555556
38;sensor_zone_3_3;8.555;1428.3169944444444;166.95002222222223
39;sensor_network;4.351;21647.013894444444;4975.074961111111
39;sensor_zone_1_1;7.961;1223.7714888888888;153.7133388888889
39;sensor_zone_1_2;5.934;1724.3906055555556;290.5793444444444
39;sensor_zone_1_3;8.265;1015.7559666666666;122.90462222222222
39;sensor_zone_2_1;4.068;1617.058511111111;397.4744388888889
39;sensor_zone_2_2;2.125;3754.9534666666664;1767.0077277777777
39;sensor_zone_2_3;4.418;1444.7434944444444;326.9845666666667
39;sensor_zone_3_1;8.135;1112.3029555555556;136.73235
39;sensor_zone_3_2;3.311;1345.0822333333333;406.23465
39;sensor_zone_3_3;8.626;1114.3711944444444;129.19162777777777
40;sensor_network;4.081;19261.62571111111;4719.3774
