Zone_1_1;Zone_1_2;Zone_1_3;Zone_2_1;Zone_2_2;Zone_2_3;Zone_3_1;Zone_3_2;Zone_3_3
T_EO_10_22;T_EO_10_15;T_EO_10_8;T_EO_17_22;T_EO_17_15;T_EO_17_8;T_EO_24_22;T_EO_24_15;T_EO_24_8
T_NS_7_10;T_NS_7_17;T_NS_7_24;T_NS_14_10;T_NS_14_17;T_NS_14_24;T_NS_21_10;T_NS_21_17;T_NS_21_24
T_SN_22_10;T_SN_22_17;T_SN_22_24;T_SN_15_10;T_SN_15_17;T_SN_15_24;T_SN_8_10;T_SN_8_17;T_SN_8_24
T_OE_4_8;T_OE_4_15;T_OE_4_22;T_OE_11_8;T_OE_11_15;T_OE_11_22;T_OE_18_8;T_OE_18_15;T_OE_18_22
T_EO_4_21;T_EO_4_14;T_EO_4_7;T_EO_11_21;T_EO_11_14;T_EO_11_7;T_EO_18_21;T_EO_18_14;T_EO_18_7
T_NS_8_4;T_NS_8_11;T_NS_8_18;T_NS_15_4;T_NS_15_11;T_NS_15_18;T_NS_22_4;T_NS_22_11;T_NS_22_18
T_SN_21_4;T_SN_21_11;T_SN_21_18;T_SN_14_4;T_SN_14_11;T_SN_14_18;T_SN_7_4;T_SN_7_11;T_SN_7_18
T_OE_5_8;T_OE_5_15;T_OE_5_22;T_OE_12_8;T_OE_12_15;T_OE_12_22;T_OE_19_8;T_OE_19_15;T_OE_19_22
T_EO_5_21;T_EO_5_14;T_EO_5_7;T_EO_12_21;T_EO_12_14;T_EO_12_7;T_EO_19_21;T_EO_19_14;T_EO_19_7
T_NS_8_5;T_NS_8_12;T_NS_8_19;T_NS_15_5;T_NS_15_12;T_NS_15_19;T_NS_22_5;T_NS_22_12;T_NS_22_19
T_SN_21_5;T_SN_21_12;T_SN_21_19;T_SN_14_5;T_SN_14_12;T_SN_14_19;T_SN_7_5;T_SN_7_12;T_SN_7_19
T_OE_6_8;T_OE_6_15;T_OE_6_22;T_OE_13_8;T_OE_13_15;T_OE_13_22;T_OE_20_8;T_OE_20_15;T_OE_20_22
T_EO_6_21;T_EO_6_14;T_EO_6_7;T_EO_13_21;T_EO_13_14;T_EO_13_7;T_EO_20_21;T_EO_20_14;T_EO_20_7
T_NS_8_6;T_NS_8_13;T_NS_8_20;T_NS_15_6;T_NS_15_13;T_NS_15_20;T_NS_22_6;T_NS_22_13;T_NS_22_20
T_SN_21_6;T_SN_21_13;T_SN_21_20;T_SN_14_6;T_SN_14_13;T_SN_14_20;T_SN_7_6;T_SN_7_13;T_SN_7_20
T_OE_7_8;T_OE_7_15;T_OE_7_22;T_OE_14_8;T_OE_14_15;T_OE_14_22;T_OE_21_8;T_OE_21_15;T_OE_21_22
T_EO_7_21;T_EO_7_14;T_EO_7_7;T_EO_14_21;T_EO_14_14;T_EO_14_7;T_EO_21_21;T_EO_21_14;T_EO_21_7
T_NS_8_7;T_NS_8_14;T_NS_8_21;T_NS_15_7;T_NS_15_14;T_NS_15_21;T_NS_22_7;T_NS_22_14;T_NS_22_21
T_SN_21_7;T_SN_21_14;T_SN_21_21;T_SN_14_7;T_SN_14_14;T_SN_14_21;T_SN_7_7;T_SN_7_14;T_SN_7_21
T_OE_8_8;T_OE_8_15;T_OE_8_22;T_OE_15_8;T_OE_15_15;T_OE_15_22;T_OE_22_8;T_OE_22_15;T_OE_22_22
T_EO_8_21;T_EO_8_14;T_EO_8_7;T_EO_15_21;T_EO_15_14;T_EO_15_7;T_EO_22_21;T_EO_22_14;T_EO_22_7
T_NS_8_8;T_NS_8_15;T_NS_8_22;T_NS_15_8;T_NS_15_15;T_NS_15_22;T_NS_22_8;T_NS_22_15;T_NS_22_22
T_SN_21_8;T_SN_21_15;T_SN_21_22;T_SN_14_8;T_SN_14_15;T_SN_14_22;T_SN_7_8;T_SN_7_15;T_SN_7_22
T_OE_9_8;T_OE_9_15;T_OE_9_22;T_OE_16_8;T_OE_16_15;T_OE_16_22;T_OE_23_8;T_OE_23_15;T_OE_23_22
T_EO_9_21;T_EO_9_14;T_EO_9_7;T_EO_16_21;T_EO_16_14;T_EO_16_7;T_EO_23_21;T_EO_23_14;T_EO_23_7
T_NS_8_9;T_NS_8_16;T_NS_8_23;T_NS_15_9;T_NS_15_16;T_NS_15_23;T_NS_22_9;T_NS_22_16;T_NS_22_23
T_SN_21_9;T_SN_21_16;T_SN_21_23;T_SN_14_9;T_SN_14_16;T_SN_14_23;T_SN_7_9;T_SN_7_16;T_SN_7_23
T_OE_10_8;T_OE_10_15;T_OE_10_22;T_OE_17_8;T_OE_17_15;T_OE_17_22;T_OE_24_8;T_OE_24_15;T_OE_24_22
T_EO_10_21;T_EO_10_14;T_EO_10_7;T_EO_17_21;T_EO_17_14;T_EO_17_7;T_EO_24_21;T_EO_24_14;T_EO_24_7
T_NS_8_10;T_NS_8_17;T_NS_8_24;T_NS_15_10;T_NS_15_17;T_NS_15_24;T_NS_22_10;T_NS_22_17;T_NS_22_24
T_SN_21_10;T_SN_21_17;T_SN_21_24;T_SN_14_10;T_SN_14_17;T_SN_14_24;T_SN_7_10;T_SN_7_17;T_SN_7_24
T_OE_4_9;T_OE_4_16;T_OE_4_23;T_OE_11_9;T_OE_11_16;T_OE_11_23;T_OE_18_9;T_OE_18_16;T_OE_18_23
T_EO_4_20;T_EO_4_13;T_EO_4_6;T_EO_11_20;T_EO_11_13;T_EO_11_6;T_EO_18_20;T_EO_18_13;T_EO_18_6
T_NS_9_4;T_NS_9_11;T_NS_9_18;T_NS_16_4;T_NS_16_11;T_NS_16_18;T_NS_23_4;T_NS_23_11;T_NS_23_18
T_SN_20_4;T_SN_20_11;T_SN_20_18;T_SN_13_4;T_SN_13_11;T_SN_13_18;T_SN_6_4;T_SN_6_11;T_SN_6_18
T_OE_5_9;T_OE_5_16;T_OE_5_23;T_OE_12_9;T_OE_12_16;T_OE_12_23;T_OE_19_9;T_OE_19_16;T_OE_19_23
T_EO_5_20;T_EO_5_13;T_EO_5_6;T_EO_12_20;T_EO_12_13;T_EO_12_6;T_EO_19_20;T_EO_19_13;T_EO_19_6
T_NS_9_5;T_NS_9_12;T_NS_9_19;T_NS_16_5;T_NS_16_12;T_NS_16_19;T_NS_23_5;T_NS_23_12;T_NS_23_19
T_SN_20_5;T_SN_20_12;T_SN_20_19;T_SN_13_5;T_SN_13_12;T_SN_13_19;T_SN_6_5;T_SN_6_12;T_SN_6_19
T_OE_6_9;T_OE_6_16;T_OE_6_23;T_OE_13_9;T_OE_13_16;T_OE_13_23;T_OE_20_9;T_OE_20_16;T_OE_20_23
T_EO_6_20;T_EO_6_13;T_EO_6_6;T_EO_13_20;T_EO_13_13;T_EO_13_6;T_EO_20_20;T_EO_20_13;T_EO_20_6
T_NS_9_6;T_NS_9_13;T_NS_9_20;T_NS_16_6;T_NS_16_13;T_NS_16_20;T_NS_23_6;T_NS_23_13;T_NS_23_20
T_SN_20_6;T_SN_20_13;T_SN_20_20;T_SN_13_6;T_SN_13_13;T_SN_13_20;T_SN_6_6;T_SN_6_13;T_SN_6_20
T_OE_7_9;T_OE_7_16;T_OE_7_23;T_OE_14_9;T_OE_14_16;T_OE_14_23;T_OE_21_9;T_OE_21_16;T_OE_21_23
T_EO_7_20;T_EO_7_13;T_EO_7_6;T_EO_14_20;T_EO_14_13;T_EO_14_6;T_EO_21_20;T_EO_21_13;T_EO_21_6
T_NS_9_7;T_NS_9_14;T_NS_9_21;T_NS_16_7;T_NS_16_14;T_NS_16_21;T_NS_23_7;T_NS_23_14;T_NS_23_21
